epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.362,19.5011,3.47399,3.14757,0.29221,0.20583,0.19074,0.0874,6.36397,2.54711,1.99969,0.000474756,0.000474756,0.000474756
2,247.38,7.20297,1.85035,1.60129,0.36779,0.35926,0.33855,0.17669,3.63709,1.65007,1.48121,0.000941674,0.000941674,0.000941674
3,366.939,5.20384,1.50936,1.35233,0.52541,0.46067,0.46016,0.24905,3.08964,1.4172,1.31,0.00139916,0.00139916,0.00139916
4,487.174,4.46564,1.32609,1.25678,0.55058,0.5157,0.52161,0.28011,2.9598,1.29084,1.23171,0.00138656,0.00138656,0.00138656
5,608.036,4.04735,1.22976,1.211,0.60148,0.52575,0.55665,0.31426,2.67316,1.19103,1.18001,0.00137241,0.00137241,0.00137241
6,727.795,3.71397,1.14749,1.18067,0.64237,0.56896,0.60128,0.33924,2.67643,1.10191,1.16086,0.00135826,0.00135826,0.00135826
1,122.46,19.5011,3.47399,3.14757,0.29221,0.20583,0.19074,0.0874,6.36397,2.54711,1.99969,0.000474756,0.000474756,0.000474756
2,244.988,7.20297,1.85035,1.60129,0.36779,0.35926,0.33855,0.17669,3.63709,1.65007,1.48121,0.000941674,0.000941674,0.000941674
3,362.457,5.20384,1.50936,1.35233,0.52541,0.46067,0.46016,0.24905,3.08964,1.4172,1.31,0.00139916,0.00139916,0.00139916
4,480.352,4.46564,1.32609,1.25678,0.55058,0.5157,0.52161,0.28011,2.9598,1.29084,1.23171,0.00138656,0.00138656,0.00138656
5,599.585,4.04735,1.22976,1.211,0.60148,0.52575,0.55665,0.31426,2.67316,1.19103,1.18001,0.00137241,0.00137241,0.00137241
6,717.948,3.71397,1.14749,1.18067,0.64237,0.56896,0.60128,0.33924,2.67643,1.10191,1.16086,0.00135826,0.00135826,0.00135826
7,836.949,3.43251,1.10174,1.15042,0.65868,0.57849,0.61886,0.35624,2.57584,1.07042,1.12969,0.00134412,0.00134412,0.00134412
8,955.941,3.30018,1.07199,1.13727,0.67188,0.59099,0.63625,0.35951,2.66525,1.05389,1.13511,0.00132997,0.00132997,0.00132997
9,1074.98,3.1518,1.04113,1.12566,0.65432,0.59573,0.63789,0.37193,2.56782,1.02832,1.11227,0.00131582,0.00131582,0.00131582
10,1194.35,3.0513,1.02156,1.10889,0.67154,0.62334,0.66348,0.3882,2.40983,0.98534,1.08625,0.00130168,0.00130168,0.00130168
11,1314.22,2.9049,0.97913,1.09705,0.71345,0.6282,0.68338,0.40538,2.35862,0.92769,1.07227,0.00128753,0.00128753,0.00128753
12,1433.66,2.86208,0.97283,1.09213,0.68673,0.63184,0.67529,0.39809,2.4228,0.94846,1.07756,0.00127338,0.00127338,0.00127338
13,1553.16,2.7263,0.93964,1.07553,0.70348,0.63399,0.68432,0.40604,2.36551,0.93865,1.07393,0.00125923,0.00125923,0.00125923
14,1672.84,2.6978,0.9359,1.07371,0.71141,0.64928,0.69321,0.41144,2.26996,0.90833,1.05434,0.00124509,0.00124509,0.00124509
15,1792.06,2.63931,0.91709,1.06577,0.72682,0.64143,0.69545,0.41765,2.21381,0.88363,1.05036,0.00123094,0.00123094,0.00123094
16,1911.72,2.57271,0.90515,1.05826,0.7131,0.63506,0.69676,0.42306,2.18675,0.91318,1.05092,0.00121679,0.00121679,0.00121679
17,2032.05,2.54426,0.89428,1.05555,0.69269,0.63755,0.68135,0.4089,2.24562,0.91105,1.04414,0.00120265,0.00120265,0.00120265
18,2152.22,2.50031,0.88812,1.04957,0.7262,0.66683,0.72354,0.43456,2.16265,0.85143,1.03556,0.0011885,0.0011885,0.0011885
19,2272.37,2.44888,0.87656,1.04308,0.74164,0.65378,0.71464,0.43158,2.1508,0.85212,1.03687,0.00117435,0.00117435,0.00117435
20,2393.26,2.44509,0.87224,1.04688,0.73965,0.66571,0.72421,0.43954,2.10895,0.83949,1.03067,0.00116021,0.00116021,0.00116021
21,2513.64,2.36923,0.85154,1.03562,0.74844,0.65851,0.72721,0.4394,2.13791,0.84734,1.02962,0.00114606,0.00114606,0.00114606
22,2633.75,2.34608,0.85046,1.03504,0.73479,0.67699,0.7294,0.44419,2.03913,0.82732,1.01908,0.00113191,0.00113191,0.00113191
23,2754.1,2.33527,0.84258,1.0316,0.73352,0.68669,0.73572,0.45121,2.04225,0.80665,1.01527,0.00111776,0.00111776,0.00111776
24,2874.34,2.28078,0.83145,1.02575,0.74385,0.68,0.73693,0.44927,2.00995,0.82633,1.01747,0.00110362,0.00110362,0.00110362
25,2995.63,2.26511,0.8229,1.02232,0.73643,0.68999,0.74281,0.44984,1.98385,0.794,1.01501,0.00108947,0.00108947,0.00108947
26,3115.4,2.2415,0.82028,1.02032,0.75393,0.68781,0.74703,0.46015,1.96647,0.78577,1.00713,0.00107532,0.00107532,0.00107532
27,3236.21,2.2157,0.80935,1.01918,0.74634,0.68817,0.74552,0.45672,1.98524,0.80044,1.01161,0.00106118,0.00106118,0.00106118
28,3356.43,2.19767,0.80735,1.01547,0.771,0.68982,0.75031,0.45967,1.94491,0.77611,1.00441,0.00104703,0.00104703,0.00104703
29,3476.97,2.17531,0.80268,1.01364,0.7634,0.69901,0.75696,0.46564,1.94589,0.77485,1.00387,0.00103288,0.00103288,0.00103288
30,3597.06,2.19018,0.80333,1.01774,0.75225,0.70768,0.7549,0.4651,1.90423,0.76908,0.99813,0.00101873,0.00101873,0.00101873
31,3717.47,2.12127,0.79076,1.00857,0.76378,0.71061,0.76602,0.46975,1.89142,0.75116,0.99552,0.00100459,0.00100459,0.00100459
32,3837.77,2.11237,0.78677,1.00599,0.76932,0.69413,0.7604,0.46952,1.87123,0.74817,0.98926,0.00099044,0.00099044,0.00099044
33,3958.25,2.09011,0.77858,1.00715,0.77219,0.69707,0.76321,0.46743,1.8781,0.74526,0.99571,0.000976293,0.000976293,0.000976293
34,4078.31,2.09078,0.77666,1.00476,0.76851,0.69768,0.75746,0.46845,1.86043,0.75684,0.992,0.000962146,0.000962146,0.000962146
35,4198.49,2.076,0.77263,1.00246,0.76854,0.71584,0.76574,0.47626,1.84003,0.73532,0.98773,0.000947999,0.000947999,0.000947999
36,4319.26,2.04179,0.76513,0.99759,0.76045,0.71889,0.77244,0.47674,1.8512,0.7313,0.98771,0.000933851,0.000933851,0.000933851
37,4439.64,2.0473,0.7633,0.99938,0.76379,0.72121,0.76942,0.47769,1.81696,0.73631,0.98614,0.000919704,0.000919704,0.000919704
38,4559.86,2.02876,0.75974,0.99613,0.76916,0.72408,0.77375,0.48089,1.81943,0.72942,0.98398,0.000905557,0.000905557,0.000905557
39,4680.53,2.00052,0.7518,0.99266,0.77651,0.71615,0.77329,0.4838,1.78821,0.71517,0.98056,0.00089141,0.00089141,0.00089141
40,4800.79,2.00875,0.75441,0.99872,0.77539,0.72456,0.77536,0.48395,1.7791,0.72314,0.98216,0.000877263,0.000877263,0.000877263
