epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.255,19.7712,3.47653,3.30072,0.26512,0.19288,0.19599,0.08915,6.49409,2.26542,2.10044,0.000474756,0.000474756,0.000474756
2,264.411,7.21085,1.87608,1.6327,0.4249,0.35119,0.35992,0.18363,3.6331,1.67076,1.51165,0.000941674,0.000941674,0.000941674
3,391.362,5.25295,1.53394,1.37346,0.533,0.42781,0.44919,0.24191,3.08141,1.4805,1.30926,0.00139916,0.00139916,0.00139916
4,516.753,4.44364,1.34611,1.26402,0.54775,0.50134,0.50772,0.26992,2.81207,1.30758,1.24065,0.00138656,0.00138656,0.00138656
5,644.265,3.99473,1.2442,1.21483,0.56664,0.54914,0.55494,0.30213,2.91678,1.21512,1.22912,0.00137241,0.00137241,0.00137241
6,771.669,3.68353,1.15395,1.18212,0.61787,0.56702,0.58548,0.32481,2.65635,1.13662,1.15872,0.00135826,0.00135826,0.00135826
7,899.333,3.40313,1.09809,1.14933,0.63935,0.57534,0.61147,0.34958,2.53632,1.0632,1.12252,0.00134412,0.00134412,0.00134412
8,1028.13,3.23184,1.06413,1.13394,0.66617,0.58954,0.63822,0.36289,2.52672,1.07771,1.11456,0.00132997,0.00132997,0.00132997
9,1157.79,3.09692,1.03878,1.12272,0.66497,0.59001,0.63598,0.36552,2.50926,1.02572,1.1134,0.00131582,0.00131582,0.00131582
10,1284.94,2.98179,1.01233,1.1066,0.68276,0.61532,0.66045,0.38619,2.42714,0.96776,1.08943,0.00130168,0.00130168,0.00130168
11,1412.89,2.835,0.9735,1.093,0.70641,0.61871,0.67628,0.39744,2.35979,0.94134,1.07729,0.00128753,0.00128753,0.00128753
12,1540.8,2.80977,0.96515,1.08955,0.69679,0.62303,0.67652,0.39656,2.47449,0.94617,1.08033,0.00127338,0.00127338,0.00127338
13,1667.28,2.68682,0.93395,1.07446,0.71218,0.62908,0.68693,0.40767,2.32143,0.92531,1.06427,0.00125923,0.00125923,0.00125923
14,1793.37,2.65115,0.92833,1.06959,0.7152,0.63862,0.68343,0.40576,2.24986,0.93194,1.05702,0.00124509,0.00124509,0.00124509
15,1919.74,2.59905,0.9107,1.06389,0.72784,0.6459,0.6994,0.41492,2.27612,0.88898,1.0525,0.00123094,0.00123094,0.00123094
16,2046.01,2.5298,0.89577,1.05374,0.69453,0.64998,0.69734,0.41782,2.20311,0.90862,1.04724,0.00121679,0.00121679,0.00121679
17,2172.59,2.51777,0.88899,1.05246,0.70505,0.66313,0.70745,0.42498,2.14199,0.86158,1.03162,0.00120265,0.00120265,0.00120265
18,2298.29,2.45765,0.87985,1.04612,0.72202,0.66759,0.72003,0.4296,2.16559,0.84993,1.03904,0.0011885,0.0011885,0.0011885
19,2424.72,2.41263,0.87055,1.04102,0.71251,0.6721,0.71194,0.42994,2.16743,0.86805,1.04409,0.00117435,0.00117435,0.00117435
20,2550.91,2.37131,0.85516,1.04078,0.72489,0.67485,0.71997,0.43636,2.07525,0.85445,1.02916,0.00116021,0.00116021,0.00116021
21,2676.96,2.32193,0.83816,1.03117,0.72267,0.67257,0.72565,0.43917,2.08462,0.82297,1.01814,0.00114606,0.00114606,0.00114606
22,2803.08,2.29893,0.83436,1.03018,0.74501,0.684,0.73625,0.44689,2.04892,0.81219,1.02221,0.00113191,0.00113191,0.00113191
23,2929.38,2.28401,0.83143,1.02598,0.74227,0.67683,0.73604,0.4511,2.04955,0.80098,1.01746,0.00111776,0.00111776,0.00111776
24,3055.39,2.24044,0.82084,1.02204,0.73919,0.69112,0.73813,0.44984,2.00135,0.81962,1.01646,0.00110362,0.00110362,0.00110362
25,3180.94,2.2142,0.81061,1.01763,0.73983,0.69496,0.74389,0.45695,1.94094,0.78683,1.00972,0.00108947,0.00108947,0.00108947
26,3306.69,2.19616,0.80662,1.01518,0.75986,0.70086,0.76167,0.46508,1.94069,0.76292,1.00658,0.00107532,0.00107532,0.00107532
27,3432.19,2.16481,0.79822,1.01494,0.73871,0.70846,0.75108,0.45895,1.94468,0.78272,1.00823,0.00106118,0.00106118,0.00106118
28,3558.16,2.14757,0.79264,1.01182,0.7543,0.70221,0.75386,0.45806,1.91549,0.76759,1.00324,0.00104703,0.00104703,0.00104703
29,3683.59,2.1347,0.79273,1.00842,0.7559,0.71361,0.76696,0.47122,1.88666,0.76039,0.99656,0.00103288,0.00103288,0.00103288
30,3809.57,2.13802,0.79186,1.01274,0.75414,0.69878,0.75304,0.46438,1.88373,0.76535,0.99649,0.00101873,0.00101873,0.00101873
31,3935.06,2.08335,0.77868,1.00411,0.75524,0.70851,0.76096,0.46946,1.85224,0.75728,0.99457,0.00100459,0.00100459,0.00100459
32,4060.85,2.07623,0.77857,1.00208,0.75415,0.70527,0.75786,0.47167,1.84143,0.74963,0.99172,0.00099044,0.00099044,0.00099044
33,4186.36,2.0522,0.77087,1.0032,0.75441,0.72317,0.7694,0.47465,1.8523,0.74143,0.99075,0.000976293,0.000976293,0.000976293
34,4312.47,2.04432,0.76031,0.99866,0.77669,0.70126,0.7708,0.47909,1.80412,0.73507,0.98621,0.000962146,0.000962146,0.000962146
35,4438.39,2.02896,0.75987,0.99685,0.76329,0.71833,0.77513,0.48057,1.80457,0.72947,0.9846,0.000947999,0.000947999,0.000947999
36,4564.42,1.99806,0.75283,0.99285,0.75931,0.73269,0.78005,0.48255,1.82717,0.72103,0.98563,0.000933851,0.000933851,0.000933851
37,4690.23,2.00274,0.75042,0.99334,0.7907,0.70541,0.77497,0.48204,1.80924,0.72757,0.98352,0.000919704,0.000919704,0.000919704
38,4816.46,2.0045,0.75084,0.99501,0.75791,0.73279,0.77996,0.48503,1.76637,0.71053,0.9819,0.000905557,0.000905557,0.000905557
39,4941.99,1.96423,0.73864,0.98783,0.75594,0.72419,0.77283,0.48337,1.77789,0.72128,0.97967,0.00089141,0.00089141,0.00089141
40,5067.79,1.96528,0.74273,0.99346,0.77502,0.72445,0.78015,0.48551,1.75378,0.71329,0.98083,0.000877263,0.000877263,0.000877263
41,5193.22,1.92207,0.72991,0.98386,0.76444,0.73817,0.78335,0.48895,1.73931,0.708,0.97604,0.000863116,0.000863116,0.000863116
42,5319.1,1.94022,0.73067,0.98596,0.7904,0.7215,0.78802,0.49215,1.76525,0.71068,0.97812,0.000848969,0.000848969,0.000848969
43,5444.5,1.91092,0.72246,0.9817,0.78086,0.7282,0.78922,0.49424,1.7374,0.70106,0.97268,0.000834822,0.000834822,0.000834822
44,5570.01,1.87776,0.71917,0.97855,0.77508,0.7343,0.79131,0.49415,1.71071,0.70021,0.96973,0.000820675,0.000820675,0.000820675
45,5696.54,1.88829,0.71664,0.97956,0.76865,0.75614,0.79628,0.49574,1.69889,0.68977,0.97314,0.000806528,0.000806528,0.000806528
46,5821.5,1.86951,0.71101,0.97785,0.78738,0.74763,0.79947,0.50133,1.70246,0.68184,0.97213,0.00079238,0.00079238,0.00079238
47,5947.08,1.86918,0.70982,0.97561,0.77286,0.74297,0.79243,0.49559,1.71345,0.68791,0.97021,0.000778233,0.000778233,0.000778233
48,6072.4,1.86914,0.71085,0.97785,0.79028,0.73897,0.79604,0.49881,1.68212,0.68543,0.96757,0.000764086,0.000764086,0.000764086
49,6197.65,1.8506,0.70667,0.97606,0.78252,0.74669,0.79816,0.50077,1.68474,0.68096,0.96721,0.000749939,0.000749939,0.000749939
50,6322.5,1.82628,0.70056,0.97405,0.78823,0.74444,0.79779,0.49842,1.67905,0.68208,0.96947,0.000735792,0.000735792,0.000735792
51,6447.91,1.83524,0.69582,0.97181,0.79199,0.74717,0.80626,0.50679,1.65243,0.67335,0.96206,0.000721645,0.000721645,0.000721645
52,6572.57,1.80986,0.69116,0.97132,0.7898,0.75548,0.80384,0.50768,1.65288,0.66983,0.96298,0.000707498,0.000707498,0.000707498
53,6697.72,1.82627,0.69921,0.97069,0.8053,0.74796,0.80616,0.50844,1.64554,0.66879,0.96153,0.000693351,0.000693351,0.000693351
54,6827.93,1.80959,0.69206,0.96906,0.7946,0.75393,0.80879,0.50662,1.66425,0.67149,0.96203,0.000679204,0.000679204,0.000679204
55,6955.85,1.78881,0.68962,0.96649,0.80051,0.75495,0.80696,0.50537,1.65088,0.6618,0.95949,0.000665057,0.000665057,0.000665057
56,7083.4,1.788,0.68495,0.9691,0.79334,0.74848,0.80478,0.50888,1.64336,0.66935,0.96211,0.000650909,0.000650909,0.000650909
57,7210.84,1.77034,0.68385,0.96854,0.7875,0.75201,0.80717,0.51004,1.63262,0.66291,0.9583,0.000636762,0.000636762,0.000636762
58,7338.3,1.77637,0.67971,0.96501,0.79633,0.74872,0.80884,0.5109,1.62437,0.65808,0.95577,0.000622615,0.000622615,0.000622615
59,7466.18,1.74043,0.67128,0.96247,0.79044,0.75916,0.81278,0.51355,1.63315,0.65531,0.95603,0.000608468,0.000608468,0.000608468
60,7593.11,1.73724,0.66995,0.96203,0.79491,0.76284,0.81176,0.5122,1.62128,0.65327,0.95562,0.000594321,0.000594321,0.000594321
61,7721.15,1.74073,0.67292,0.9612,0.80002,0.75904,0.81407,0.51391,1.61058,0.65227,0.95445,0.000580174,0.000580174,0.000580174
62,7849.05,1.72061,0.66251,0.9597,0.80394,0.7538,0.81361,0.51382,1.6074,0.65582,0.95584,0.000566027,0.000566027,0.000566027
63,7976.56,1.73477,0.66969,0.9623,0.79582,0.76544,0.81631,0.51697,1.60159,0.64904,0.95177,0.00055188,0.00055188,0.00055188
64,8104.23,1.71377,0.66403,0.95858,0.80943,0.75323,0.8157,0.51575,1.61662,0.64465,0.95511,0.000537733,0.000537733,0.000537733
65,8231.92,1.70765,0.6599,0.95769,0.79388,0.76117,0.8124,0.51396,1.60834,0.6487,0.95409,0.000523586,0.000523586,0.000523586
66,8359.88,1.6967,0.65699,0.9588,0.79798,0.75912,0.81431,0.51686,1.5947,0.64589,0.95117,0.000509438,0.000509438,0.000509438
67,8486.92,1.69225,0.65934,0.95614,0.8032,0.76113,0.81792,0.51729,1.59358,0.64306,0.95143,0.000495291,0.000495291,0.000495291
