epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.787,3.10233,3.54002,3.12431,0.64804,0.16635,0.1719,0.08439,2.3045,2.43556,2.17957,0.000474756,0.000474756,0.000474756
2,222.961,2.04324,1.82788,1.76183,0.32817,0.33068,0.30777,0.17489,1.82881,1.7639,1.63671,0.000941674,0.000941674,0.000941674
3,328.933,1.74699,1.48723,1.47763,0.44295,0.41882,0.39162,0.22689,1.59845,1.51518,1.44411,0.00139916,0.00139916,0.00139916
4,434.024,1.60174,1.31182,1.36098,0.48011,0.46269,0.44958,0.25576,1.50999,1.33236,1.34792,0.00138656,0.00138656,0.00138656
5,539.633,1.50933,1.21065,1.29438,0.55357,0.48215,0.49622,0.28433,1.44258,1.28686,1.31531,0.00137241,0.00137241,0.00137241
6,645.871,1.43832,1.12459,1.24611,0.59257,0.50315,0.52704,0.30197,1.38308,1.18155,1.26801,0.00135826,0.00135826,0.00135826
7,752.202,1.38598,1.06449,1.20949,0.61208,0.53978,0.55983,0.3217,1.35883,1.08967,1.23956,0.00134412,0.00134412,0.00134412
8,859.73,1.35278,1.03218,1.19268,0.58867,0.54544,0.5646,0.32948,1.31557,1.07602,1.208,0.00132997,0.00132997,0.00132997
9,965.458,1.32289,0.99417,1.16907,0.6386,0.55727,0.58373,0.34322,1.28066,1.06303,1.19712,0.00131582,0.00131582,0.00131582
10,1071.86,1.30083,0.97212,1.1553,0.65152,0.55607,0.5918,0.34696,1.26919,0.98166,1.18489,0.00130168,0.00130168,0.00130168
11,1179.54,1.26248,0.93111,1.13691,0.65409,0.58273,0.60648,0.35896,1.23206,0.97061,1.15548,0.00128753,0.00128753,0.00128753
12,1286.46,1.26272,0.92943,1.13347,0.67485,0.57818,0.61756,0.3631,1.24197,0.967,1.1542,0.00127338,0.00127338,0.00127338
13,1392.52,1.2277,0.89328,1.11417,0.65444,0.59027,0.61826,0.36654,1.22012,0.97308,1.13871,0.00125923,0.00125923,0.00125923
14,1499.26,1.21999,0.88443,1.10716,0.68667,0.59971,0.63733,0.37867,1.19751,0.90948,1.12282,0.00124509,0.00124509,0.00124509
15,1606.41,1.21271,0.86756,1.10253,0.69386,0.61029,0.65204,0.38748,1.18938,0.87237,1.12076,0.00123094,0.00123094,0.00123094
16,1712.93,1.19083,0.85215,1.08738,0.65321,0.58549,0.61955,0.37175,1.18888,0.9322,1.1137,0.00121679,0.00121679,0.00121679
17,1820.07,1.18863,0.84343,1.08576,0.69031,0.60549,0.65024,0.38673,1.18211,0.89458,1.10627,0.00120265,0.00120265,0.00120265
18,1933.42,1.17316,0.84021,1.08088,0.68869,0.62515,0.66121,0.39655,1.1473,0.86169,1.0974,0.0011885,0.0011885,0.0011885
19,2042.32,1.15441,0.82294,1.07105,0.71826,0.60865,0.66086,0.39946,1.13389,0.84709,1.09091,0.00117435,0.00117435,0.00117435
20,2151.42,1.15628,0.8152,1.07367,0.71355,0.62262,0.67215,0.40251,1.14334,0.86399,1.09068,0.00116021,0.00116021,0.00116021
21,2263.11,1.13721,0.79296,1.05825,0.71463,0.6314,0.68228,0.40678,1.13467,0.84149,1.0799,0.00114606,0.00114606,0.00114606
22,2373.91,1.13683,0.78992,1.06139,0.72591,0.63194,0.67663,0.4039,1.14599,0.85249,1.08211,0.00113191,0.00113191,0.00113191
23,2483.53,1.12613,0.78571,1.05366,0.71322,0.63672,0.68031,0.41401,1.11614,0.81347,1.06988,0.00111776,0.00111776,0.00111776
24,2596.75,1.12201,0.78767,1.05111,0.71665,0.63909,0.68179,0.41426,1.10794,0.81694,1.06877,0.00110362,0.00110362,0.00110362
25,2709,1.11633,0.7706,1.04591,0.72914,0.64398,0.68771,0.41615,1.10895,0.81975,1.06844,0.00108947,0.00108947,0.00108947
26,2818.66,1.10667,0.7648,1.04313,0.73968,0.65291,0.70305,0.42517,1.09744,0.77964,1.06584,0.00107532,0.00107532,0.00107532
27,2929.37,1.10016,0.75243,1.04044,0.73841,0.65931,0.70804,0.4283,1.09167,0.77974,1.06054,0.00106118,0.00106118,0.00106118
28,3040.38,1.09564,0.75213,1.03552,0.76559,0.64812,0.70728,0.42649,1.08683,0.77829,1.05811,0.00104703,0.00104703,0.00104703
29,3148.76,1.0924,0.75018,1.03669,0.72943,0.66225,0.70382,0.43037,1.09389,0.77536,1.05781,0.00103288,0.00103288,0.00103288
30,3258.48,1.09205,0.75162,1.03848,0.72493,0.66415,0.70589,0.43314,1.07076,0.76062,1.04534,0.00101873,0.00101873,0.00101873
31,3366.94,1.0851,0.74004,1.0326,0.74849,0.65779,0.70737,0.43205,1.06949,0.76792,1.04658,0.00100459,0.00100459,0.00100459
32,3474.8,1.07561,0.73315,1.02799,0.74774,0.66881,0.7159,0.43709,1.06404,0.74646,1.04436,0.00099044,0.00099044,0.00099044
33,3583.27,1.07072,0.72845,1.02873,0.74713,0.66714,0.71729,0.43828,1.06927,0.74765,1.0442,0.000976293,0.000976293,0.000976293
34,3693.83,1.063,0.71634,1.02371,0.74816,0.66343,0.71494,0.43946,1.05395,0.75115,1.03534,0.000962146,0.000962146,0.000962146
35,3806.84,1.06694,0.72487,1.02547,0.75132,0.66964,0.71865,0.44118,1.05437,0.74166,1.0354,0.000947999,0.000947999,0.000947999
36,3919.88,1.05899,0.7122,1.01867,0.76228,0.66913,0.72861,0.44495,1.05563,0.73845,1.03335,0.000933851,0.000933851,0.000933851
37,4032.45,1.05586,0.70841,1.01733,0.76476,0.67727,0.73319,0.44694,1.04846,0.72209,1.0351,0.000919704,0.000919704,0.000919704
38,4141.5,1.05288,0.70917,1.01863,0.74871,0.67324,0.7248,0.4451,1.0425,0.72776,1.02835,0.000905557,0.000905557,0.000905557
39,4249.51,1.04559,0.70186,1.01297,0.74931,0.67611,0.72723,0.44951,1.04085,0.71717,1.03078,0.00089141,0.00089141,0.00089141
40,4356.41,1.04437,0.7068,1.01714,0.75726,0.68345,0.73405,0.45152,1.03519,0.71413,1.02459,0.000877263,0.000877263,0.000877263
41,4466.6,1.03075,0.68935,1.00543,0.76145,0.67428,0.72937,0.45103,1.03538,0.71384,1.02861,0.000863116,0.000863116,0.000863116
42,4575.03,1.03623,0.69058,1.00854,0.75753,0.68477,0.73463,0.45357,1.03121,0.69921,1.02456,0.000848969,0.000848969,0.000848969
43,4685.71,1.02844,0.68022,1.00299,0.75941,0.67879,0.72985,0.45272,1.02745,0.71268,1.02351,0.000834822,0.000834822,0.000834822
44,4795.05,1.01941,0.68049,1.00252,0.76431,0.68622,0.73448,0.45326,1.02927,0.70288,1.02309,0.000820675,0.000820675,0.000820675
45,4905.85,1.02987,0.68144,1.00373,0.76865,0.68777,0.73912,0.45831,1.02597,0.6978,1.02274,0.000806528,0.000806528,0.000806528
