epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.522,3.09947,3.44755,3.27222,0.61662,0.14238,0.1418,0.04454,2.52763,2.45684,2.37963,0.000474756,0.000474756,0.000474756
2,223.445,2.35316,2.0889,2.10737,0.37421,0.28751,0.28107,0.12878,2.12498,1.80514,1.82166,0.000941674,0.000941674,0.000941674
3,328.506,2.10681,1.78779,1.82939,0.35694,0.35604,0.31723,0.12871,2.15834,2.14243,1.81465,0.00139916,0.00139916,0.00139916
4,433.281,1.98447,1.62411,1.71,0.48636,0.41281,0.41947,0.17897,1.99512,1.57265,1.64972,0.00138656,0.00138656,0.00138656
5,538.04,1.9004,1.51764,1.63249,0.49221,0.44063,0.43051,0.17372,2.02333,1.54537,1.66359,0.00137241,0.00137241,0.00137241
6,642.484,1.82892,1.4256,1.57127,0.56939,0.44952,0.47983,0.23055,1.71598,1.42309,1.46757,0.00135826,0.00135826,0.00135826
7,748.463,1.76263,1.36091,1.51761,0.5554,0.49721,0.50215,0.2322,1.80403,1.3552,1.48578,0.00134412,0.00134412,0.00134412
8,854.375,1.71766,1.3158,1.48432,0.60151,0.4891,0.51255,0.24697,1.70867,1.23949,1.43756,0.00132997,0.00132997,0.00132997
9,960.466,1.68317,1.27854,1.45764,0.59571,0.52131,0.53456,0.28672,1.53357,1.16742,1.33986,0.00131582,0.00131582,0.00131582
10,1065.26,1.64308,1.2477,1.42631,0.57469,0.52415,0.53831,0.27627,1.58777,1.1847,1.36744,0.00130168,0.00130168,0.00130168
11,1171.39,1.60828,1.19604,1.40306,0.61734,0.53763,0.56449,0.28364,1.62747,1.13583,1.35869,0.00128753,0.00128753,0.00128753
12,1277.14,1.59468,1.18574,1.39159,0.6307,0.55084,0.58628,0.30519,1.5217,1.09022,1.30496,0.00127338,0.00127338,0.00127338
13,1382.19,1.55243,1.13811,1.35748,0.66603,0.5445,0.59577,0.32205,1.47182,1.05773,1.28331,0.00125923,0.00125923,0.00125923
14,1487.98,1.54689,1.13831,1.35743,0.66363,0.56943,0.60487,0.28479,1.73565,1.09132,1.39706,0.00124509,0.00124509,0.00124509
15,1593.4,1.52482,1.10659,1.33669,0.66901,0.55883,0.59904,0.32334,1.45785,1.04048,1.25927,0.00123094,0.00123094,0.00123094
16,1699.31,1.50066,1.08808,1.32144,0.65209,0.56472,0.61075,0.32091,1.52011,1.07536,1.28926,0.00121679,0.00121679,0.00121679
17,1804.69,1.49455,1.0836,1.31967,0.67258,0.58407,0.62577,0.32803,1.49298,0.99748,1.265,0.00120265,0.00120265,0.00120265
18,1910.69,1.48033,1.06815,1.30731,0.65832,0.59943,0.63388,0.35438,1.34641,0.9829,1.2038,0.0011885,0.0011885,0.0011885
19,2016.26,1.45879,1.05251,1.29418,0.67137,0.59646,0.63722,0.35315,1.42003,0.9604,1.2274,0.00117435,0.00117435,0.00117435
20,2122.2,1.44811,1.04169,1.28601,0.68387,0.59143,0.63785,0.35489,1.38576,0.97932,1.21768,0.00116021,0.00116021,0.00116021
21,2228.36,1.43966,1.02264,1.27917,0.67133,0.58247,0.6365,0.34506,1.42755,1.00124,1.23213,0.00114606,0.00114606,0.00114606
22,2334.11,1.43275,1.01684,1.27597,0.68098,0.61898,0.65724,0.37362,1.2988,0.92309,1.18571,0.00113191,0.00113191,0.00113191
