epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.906,3.10171,3.45135,3.14481,0.56349,0.15445,0.16238,0.07641,2.13398,3.56786,2.16089,0.000474589,0.000474589,0.000474589
2,208.263,2.03407,1.78951,1.77322,0.38934,0.32089,0.32145,0.18068,1.7557,1.963,1.54203,0.000941508,0.000941508,0.000941508
3,304.852,1.74907,1.44022,1.47966,0.38055,0.35603,0.35983,0.20318,1.5791,1.93912,1.39475,0.001399,0.001399,0.001399
4,400.367,1.60529,1.29572,1.37805,0.45613,0.37993,0.41219,0.23623,1.48454,1.68383,1.32761,0.00138656,0.00138656,0.00138656
5,496.189,1.49755,1.18018,1.29904,0.46406,0.4845,0.45611,0.26297,1.3856,1.5231,1.26205,0.00137241,0.00137241,0.00137241
6,592.412,1.43763,1.10697,1.26257,0.47507,0.50402,0.47741,0.27654,1.35152,1.25177,1.22768,0.00135826,0.00135826,0.00135826
7,687.782,1.38335,1.04979,1.22013,0.5507,0.49847,0.50466,0.29027,1.31843,1.27312,1.20419,0.00134412,0.00134412,0.00134412
8,783.51,1.34738,1.00314,1.19216,0.59287,0.52785,0.5393,0.31212,1.26836,1.06383,1.1668,0.00132997,0.00132997,0.00132997
9,878.961,1.31742,0.96917,1.17699,0.58363,0.55411,0.56102,0.3229,1.24302,1.24905,1.15641,0.00131582,0.00131582,0.00131582
10,974.72,1.28856,0.94364,1.15948,0.59843,0.56417,0.56385,0.33008,1.22638,1.38735,1.13979,0.00130168,0.00130168,0.00130168
11,1070.9,1.27249,0.92714,1.15361,0.62983,0.56328,0.5784,0.33579,1.22456,1.04801,1.13871,0.00128753,0.00128753,0.00128753
12,1166.21,1.24025,0.88939,1.12783,0.62372,0.58013,0.59072,0.34265,1.18071,1.16844,1.10793,0.00127338,0.00127338,0.00127338
13,1261.95,1.22727,0.87853,1.12407,0.65278,0.57688,0.6042,0.35313,1.17372,1.24404,1.11029,0.00125923,0.00125923,0.00125923
14,1415.86,1.21464,0.86713,1.11758,0.62951,0.58222,0.60385,0.35575,1.16194,1.12149,1.09825,0.00124509,0.00124509,0.00124509
15,1650.06,1.20691,0.85679,1.10659,0.63837,0.59705,0.61843,0.36137,1.13782,1.03193,1.08017,0.00123094,0.00123094,0.00123094
16,1836.69,1.19034,0.84546,1.10133,0.66643,0.589,0.61906,0.36202,1.13799,0.98791,1.081,0.00121679,0.00121679,0.00121679
17,1984.75,1.1825,0.82907,1.09671,0.67533,0.59986,0.63126,0.36953,1.13173,1.11816,1.07736,0.00120265,0.00120265,0.00120265
18,2158.79,1.17032,0.81615,1.08831,0.66102,0.60374,0.63165,0.36742,1.13446,0.91018,1.07392,0.0011885,0.0011885,0.0011885
19,2345.31,1.16117,0.8083,1.08484,0.66794,0.6119,0.6436,0.37702,1.10211,0.90278,1.05713,0.00117435,0.00117435,0.00117435
20,2566.78,1.1435,0.79769,1.07392,0.68928,0.61351,0.64555,0.38199,1.10896,0.90797,1.06147,0.00116021,0.00116021,0.00116021
21,2803.68,1.13439,0.79382,1.06805,0.67186,0.61013,0.64105,0.38169,1.08685,0.88379,1.04958,0.00114606,0.00114606,0.00114606
22,3042.04,1.13657,0.78656,1.07221,0.68787,0.60748,0.65143,0.38143,1.08265,0.92231,1.04393,0.00113191,0.00113191,0.00113191
23,3286.57,1.12135,0.77207,1.06079,0.70102,0.61328,0.65409,0.38769,1.07838,0.99955,1.04198,0.00111776,0.00111776,0.00111776
24,3538.08,1.12419,0.77437,1.06648,0.67411,0.62878,0.65703,0.39179,1.0661,1.11485,1.03183,0.00110362,0.00110362,0.00110362
25,3800.82,1.10985,0.75604,1.05687,0.7179,0.63043,0.6721,0.39888,1.07756,0.88799,1.04288,0.00108947,0.00108947,0.00108947
26,4084.65,1.10486,0.74898,1.05174,0.72384,0.63025,0.67455,0.40299,1.04919,0.86973,1.02664,0.00107532,0.00107532,0.00107532
27,4394.94,1.09794,0.74553,1.04848,0.69047,0.6359,0.6661,0.39453,1.06303,0.94898,1.03335,0.00106118,0.00106118,0.00106118
28,4773.73,1.08805,0.73888,1.04572,0.70052,0.63342,0.67495,0.40324,1.0423,0.91068,1.02336,0.00104703,0.00104703,0.00104703
29,6087.35,1.07955,0.72969,1.03916,0.73323,0.64054,0.68664,0.40693,1.04889,0.83424,1.02037,0.00103288,0.00103288,0.00103288
30,6490.33,1.08355,0.73156,1.04135,0.71281,0.63756,0.67956,0.40706,1.04183,0.90688,1.0206,0.00101873,0.00101873,0.00101873
31,6886.07,1.06735,0.71284,1.03182,0.72803,0.6521,0.69587,0.41816,1.0327,0.8204,1.01216,0.00100459,0.00100459,0.00100459
32,7283.41,1.06845,0.72059,1.03541,0.70927,0.65418,0.69038,0.41103,1.03641,0.79816,1.014,0.00099044,0.00099044,0.00099044
33,7690.61,1.07075,0.71799,1.03854,0.72136,0.65293,0.69479,0.41372,1.01983,0.74508,1.00675,0.000976293,0.000976293,0.000976293
34,7857.1,1.06219,0.71184,1.03179,0.70577,0.6537,0.68981,0.41277,1.02799,0.87308,1.00843,0.000962146,0.000962146,0.000962146
35,7968.64,1.06254,0.70895,1.03232,0.7302,0.65981,0.69857,0.41587,1.02111,0.78327,1.00548,0.000947999,0.000947999,0.000947999
36,8079.85,1.05296,0.70478,1.02822,0.71723,0.65169,0.68713,0.4155,1.02382,0.8956,1.00781,0.000933851,0.000933851,0.000933851
37,8191.73,1.04686,0.69722,1.0237,0.71791,0.65602,0.6941,0.41581,1.01202,0.89017,1.0018,0.000919704,0.000919704,0.000919704
38,8303.07,1.04284,0.68984,1.02177,0.74759,0.6592,0.70844,0.42241,1.01148,0.84152,1.00322,0.000905557,0.000905557,0.000905557
39,8414.95,1.0444,0.68875,1.01987,0.73117,0.65363,0.69656,0.41862,1.0065,0.81129,0.99691,0.00089141,0.00089141,0.00089141
40,8526.23,1.03978,0.68828,1.01941,0.74179,0.66585,0.70775,0.4277,0.99689,0.82159,0.9925,0.000877263,0.000877263,0.000877263
41,8637.94,1.03679,0.6804,1.01637,0.73761,0.66617,0.71169,0.43016,0.99325,0.73579,0.99322,0.000863116,0.000863116,0.000863116
42,8749.62,1.02846,0.67818,1.01178,0.74781,0.65575,0.70724,0.42702,0.99112,0.76551,0.98812,0.000848969,0.000848969,0.000848969
43,8861.24,1.02894,0.6732,1.01408,0.73861,0.67053,0.71197,0.43095,0.99076,0.83631,0.99015,0.000834822,0.000834822,0.000834822
44,8972.97,1.02266,0.67407,1.01348,0.74964,0.66816,0.71381,0.43122,0.99149,0.79549,0.98995,0.000820675,0.000820675,0.000820675
45,9084.53,1.01813,0.66404,1.00545,0.76132,0.66766,0.7207,0.43388,0.99177,0.77945,0.99046,0.000806528,0.000806528,0.000806528
46,9196.21,1.01974,0.66716,1.0093,0.75504,0.66438,0.71634,0.4346,0.98217,0.81616,0.98546,0.00079238,0.00079238,0.00079238
47,9307.74,1.00705,0.6536,1.00392,0.75625,0.66697,0.71961,0.43605,0.98277,0.75539,0.98553,0.000778233,0.000778233,0.000778233
48,9419.58,1.00256,0.64969,0.99761,0.75873,0.67041,0.71898,0.43646,0.97458,0.82057,0.97788,0.000764086,0.000764086,0.000764086
49,9531.97,1.00738,0.65651,1.00261,0.75613,0.67299,0.72078,0.43694,0.98066,0.75989,0.98137,0.000749939,0.000749939,0.000749939
50,9650.91,1.0003,0.6499,0.99699,0.76993,0.67166,0.72573,0.43887,0.97629,0.74757,0.97944,0.000735792,0.000735792,0.000735792
51,9762.5,1.00372,0.65179,1.00129,0.76268,0.67493,0.72812,0.44019,0.97567,0.9244,0.98056,0.000721645,0.000721645,0.000721645
52,9874.53,0.99024,0.6401,0.99216,0.77157,0.66351,0.72737,0.44239,0.96958,0.80463,0.97699,0.000707498,0.000707498,0.000707498
53,9986.18,0.99742,0.64343,0.9964,0.76781,0.67128,0.7248,0.4415,0.96651,0.78707,0.97753,0.000693351,0.000693351,0.000693351
54,10098.2,0.99448,0.64399,0.99537,0.76109,0.68041,0.73043,0.4454,0.96259,0.80236,0.97407,0.000679204,0.000679204,0.000679204
55,10209.9,0.98932,0.63663,0.99557,0.76139,0.68203,0.73407,0.44498,0.96192,0.70383,0.97417,0.000665057,0.000665057,0.000665057
56,10321.6,0.99199,0.64022,0.99593,0.76298,0.68128,0.73129,0.44344,0.96332,0.81013,0.97436,0.000650909,0.000650909,0.000650909
57,10434,0.98919,0.63811,0.99012,0.77816,0.68473,0.73892,0.44824,0.95856,0.69148,0.97202,0.000636762,0.000636762,0.000636762
58,10545.9,0.98841,0.63345,0.98907,0.77614,0.68136,0.73548,0.44618,0.96428,0.77809,0.97489,0.000622615,0.000622615,0.000622615
59,10657.8,0.98106,0.62911,0.99005,0.76557,0.68133,0.73234,0.44856,0.95722,0.79572,0.97015,0.000608468,0.000608468,0.000608468
60,10769.1,0.97384,0.62306,0.98736,0.7718,0.68654,0.73874,0.45075,0.95572,0.76015,0.97106,0.000594321,0.000594321,0.000594321
61,10880.9,0.96938,0.61463,0.98183,0.78009,0.68054,0.73861,0.44806,0.95837,0.65901,0.96908,0.000580174,0.000580174,0.000580174
